time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
15584,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
15584,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
15584,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
15584,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
15584,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
15584,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
16147,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
16147,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
16147,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
16147,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
16147,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
16147,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
16147,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
16147,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
16710,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
16710,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
16710,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
16710,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
16710,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
16710,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
16710,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
16710,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
17273,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
17273,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
17273,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
17273,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
17273,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
17273,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
17273,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
17273,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
17836,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
17836,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
17836,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
17836,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
17836,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
17836,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
17836,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
17836,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
18399,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
